Business,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024
HDFC Life Insur.,,,,,,,,,,,,,,,,,,,,,,,1.23,1.24,,1.2,1.35,2.09,2.56,2.71,2.73,2.76,2.82,2.78,1.31
Hind.Aeronautics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.03,1.04,,,
H P C L,,,,,,,,,1.01,,,,,,,,,,,,,,,1.59,1.62,1.75,2.11,2.3,2.14,1.81,1.33,,,,
Hind. Unilever,,,,,,,,,,,,,,,,,,1.07,,1.02,,,,,,,,1.03,1.06,1.04,,,,,
H D F C,,2.02,1.94,1.99,1.87,1.75,1.81,1.98,1.92,2.08,2.06,2.13,1.92,3.78,3.48,3.32,3.23,3.14,3.2,2.95,2.62,2.6,2.67,2.67,2.79,3.1,3.35,3.56,3.51,3.62,,,,,
ICICI Bank,,1.48,1.57,1.47,1.45,1.84,1.73,1.96,2.08,2.05,2,2.05,2.03,1.7,1.63,2.09,2.08,2.12,2.46,2.72,2.67,2.98,3.13,3.09,3.3,3.63,3.7,3.66,3.43,3.35,3.2,3.17,3.16,2.88,
ICICI Lombard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,1,,,1.02,,
ICICI Pru Life,,,,,,,,,,,,,,,,,,1.39,1.13,,,,,,,,,,,,,1.62,1.94,1.99,1.69
IDFC First Bank,,,,,,,,,,,,,2.64,2.55,3.19,1.19,,,,,,,,,,,,,,,,,,,
I R C T C,,,,,,,,,,,,,,,,,,,,1.81,1.75,1.55,1.36,,,,,,,,,,,,
IndusInd Bank,,,,,,,,,,1.79,1.76,1.68,2.1,1.33,1.94,2.03,2.09,,,,,,,,,,,,,,,,,1.14,
Info Edg.(India),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24
Interglobe Aviat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,2.02,3.58
IRB Infra.Devl.,,2.85,3.73,4.54,3.93,5.1,5.22,5.44,5.2,4.64,4.4,4.67,3.71,3.35,3.35,3.35,3.35,3.35,3.92,3.92,3.92,3.92,3.92,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28
ITC,,1.3,1.26,1.34,1.28,1.31,1.35,1.31,1.37,1.4,1.53,1.51,1.5,1.59,1.58,1.46,1.24,,,,,,,,,,,,,,,,1.44,1.11,1.02
Jio Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.69,1.28,,
JSW Infrast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.38
Kalyan Jewellers,,,,,,,,,,,,,,,,,,,,,1.45,1.58,1.25,1.55,1.41,1.41,1.48,1.01,1.1,1.1,1.1,,1.12,,1.96
Kotak Mah. Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.25,1.24,1.21,,
Kridhan Infra,,,,,,,,5.59,5.14,5.14,5.14,5.14,5.14,5.14,5.12,4.98,4.91,4.54,4.5,4,3.19,,,,,,,,,,,,,,
Larsen & Toubro,,,,,,,,,,,,,,,1.26,1.24,1.78,2.28,2.19,2.56,2.44,2.36,2.45,2.46,2.52,2.81,,3.19,3.38,3.42,3.26,3.4,2.88,2.37,2.31
Lupin,,1.73,1.66,1.76,1.67,1.42,1.06,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,
Macrotech Devel.,,,,,,,,,,,,,,,,,,,,,,,,1.68,1.73,1.77,1.82,1.71,1.53,1.24,1.22,1.26,1.17,1.09,
M & M Fin. Serv.,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & M,,,,,2.37,,,,,,,,1.38,,1.17,1.13,1.12,1.37,,,1.1,,,,,,,,1.84,2.08,2.24,2.26,2.1,2.42,2.45
Maruti Suzuki,,,,,,,,,,,,,,1.09,1.09,,,,,,,,,,,,,,,,,,,,
Max Financial,,,,,,,,,,,,,,,,,,,,,,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,2.07,2.07,,,
Max Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,6.33,6.25,6.26,6.93,7.16,7.6,7.57,7.21,6.71
